snapshot,redshift,subhalo_index,subhalo_mass_Msun,n_bh
32,2.220446049250313e-16,3327,4321452670251.578,368
32,2.220446049250313e-16,7546,1828978040901.1084,173
32,2.220446049250313e-16,6663,1912872760656.0837,147
32,2.220446049250313e-16,7811,1331012383853.8206,115
32,2.220446049250313e-16,7325,1513980386035.6897,107
32,2.220446049250313e-16,9019,926019141530.0258,104
32,2.220446049250313e-16,6937,1725978059758.8174,100
32,2.220446049250313e-16,8070,1218535547646.6155,88
32,2.220446049250313e-16,8914,861919551247.1039,86
32,2.220446049250313e-16,9334,668194902786.5276,62
32,2.220446049250313e-16,6230,794515467485.8484,60
32,2.220446049250313e-16,9666,612220037390.1853,57
32,2.220446049250313e-16,3328,330073793676.32874,56
32,2.220446049250313e-16,6229,1187554414225.4768,55
32,2.220446049250313e-16,9853,542931760225.4213,55
